,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183370270703281,0.20329311157963206,0.02739113480234543,-0.22015754275235588
None,0.6019007614213197,0.615864554353426,0.6325887570912841,0.6288758124667021
Okt,0.524467614213198,0.5416501287995878,0.5570547189272822,0.5523510921683538
Mecab,0.5026790862944163,0.5169355486862441,0.5298975244971635,0.5294575919019712
Komoran,0.5000335025380711,0.5124446676970633,0.5304497679216091,0.5271615343633457
Kkma,0.49367487309644675,0.5077281813498197,0.5267017534811759,0.5236441129461908
Kiwi,0.49431710659898476,0.5097697578567748,0.5236341928829293,0.5250202983484283
Khaiii,0.5002290355329949,0.5120270994332818,0.52873491490459,0.529099147575919
Hannanum,0.5273994416243656,0.5413183925811438,0.561825219185147,0.5552795418220564
Spm,0.4793815228426396,0.4932646058732612,0.5017582774626096,0.506084283431007
Jamo,0.4175692385786802,0.42784415249871194,0.4230814337287262,0.430106979222163
Character,0.4056330964467005,0.41826810922205054,0.4196120165033522,0.42169834842834314
