,Kakao,Papago,Google,Bing
Human,0.11183370270703281,0.20329311157963206,0.02739113480234543,-0.22015754275235588
None,0.5033448223350254,0.509175837197321,0.5324295513151108,0.5243846563665423
Okt,0.4695621827411168,0.4750805770221535,0.4940033522434244,0.48831289291422486
Mecab,0.45426730964467005,0.45927805255023185,0.4775026302217638,0.4733561534363345
Komoran,0.4476779187817259,0.4517135497166409,0.47154636410520884,0.46614102290889714
Kkma,0.4450565989847716,0.44959134466769707,0.46924734399174833,0.46394144912093765
Kiwi,0.4444364974619289,0.44908541988665635,0.4662943269726663,0.4634030367607885
Khaiii,0.447211116751269,0.45153590932509013,0.470250644662197,0.4664888652104422
Hannanum,0.4604804060913706,0.4654374034003091,0.4867660649819494,0.47993803942461377
Spm,0.4424119796954315,0.44757805255023186,0.46455920577617327,0.461180820458178
Jamo,0.3398152284263959,0.3424728490468831,0.3598089221248066,0.3555455514118274
Character,0.4035128934010152,0.40772545079855743,0.42393099535843215,0.4200087906233351
