,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183370270703281,0.20329311157963206,0.02739113480234543,-0.22015754275235588
None,0.029270121540379262,0.03006571235549495,0.01851750406308388,0.022473412571206688
Okt,0.138453784470544,0.13440172772131376,0.11102015388167567,0.11690264783327478
Mecab,0.1902415334656696,0.18601442168635215,0.16054073580973324,0.15889263649924407
Komoran,0.212520307853612,0.20878572055227865,0.17295461253157912,0.17881776256522128
Kkma,0.2219249639083591,0.21675543548861567,0.18413171655097924,0.18750934051268234
Kiwi,0.21934525804591115,0.21408012056167522,0.18686040498485135,0.18359241232133766
Khaiii,0.21439356974429083,0.21005159457743755,0.17933541399537803,0.17851790836739115
Hannanum,0.18276895414650568,0.17937158729074149,0.13961113490585741,0.15125484249526355
Spm,0.2225029926924684,0.21652560748546393,0.18389843762587654,0.19031480586437796
Jamo,0.5216534132763305,0.5145498303300285,0.4952837063530078,0.4974713422960183
Character,0.3226647711178599,0.3151852444213478,0.2902802838835435,0.29383316994237585
