,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183370270703281,0.20329311157963206,0.02739113480234543,-0.22015754275235588
None,0.12009245612748529,0.11722486355414251,0.09083838342837681,0.1026651852050085
Okt,0.23318173061182487,0.22863239711792255,0.2054251186778716,0.21119180178333463
Mecab,0.2715887377942257,0.2675863628481804,0.24674512046565367,0.2441214971355716
Komoran,0.28638319881643004,0.28324259434413357,0.2543792147873976,0.25770945506219395
Kkma,0.2946914097495222,0.2900010003911066,0.2628992663191645,0.26489228941875403
Kiwi,0.29399039300854873,0.28906862810176565,0.2682405363245366,0.2637024589300757
Khaiii,0.28686163796527414,0.28301017114674437,0.25849270747250613,0.255976604844514
Hannanum,0.25821174489814974,0.254850980765717,0.2202202421327866,0.2292159251375768
Spm,0.29577940188588314,0.28922732000695944,0.2582063948815838,0.2648663794805561
Jamo,0.548306383313633,0.5420812088224323,0.5229316284697996,0.5265414268913374
Character,0.36993821211615674,0.36257136581700344,0.3391143046267683,0.3439381333572012
