,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183370270703281,0.20329311157963206,0.02739113480234543,-0.22015754275235588
None,1.0786034925374797,1.0399080553734228,0.8634502038230517,0.9529086545182257
Okt,2.1466613912397494,2.0925011079333657,1.9840977566072233,2.0180838116082844
Mecab,2.4462859150020524,2.3941705635104626,2.308543974430878,2.2899134710620364
Komoran,2.548529305853082,2.5025429906734997,2.370945826695191,2.3880013711797594
Kkma,2.6037851578225792,2.545214377949434,2.410387616089166,2.4342046954681757
Kiwi,2.5989388059177374,2.542338703369399,2.4637619996379665,2.43235568875224
Khaiii,2.5462394057692674,2.495203131114125,2.395294023946584,2.372695098031598
Hannanum,2.30345745673382,2.2465836311223697,2.0880853893056233,2.133813758249734
Spm,2.637399744657168,2.5638647221081112,2.3907177264610384,2.4461112114954893
Jamo,4.6769214863615165,4.607153113895087,4.546149638899542,4.57753077460931
Character,3.201407573958722,3.1295457387981513,3.0016559234670503,3.0615043795078787
