,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183370270703281,0.20329311157963206,0.02739113480234543,-0.22015754275235588
None,0.16433462663086668,0.1655732665304649,0.14455335751570916,0.14742187091947428
Okt,0.165255033688127,0.16722321629354708,0.15541340190284053,0.15572424794580336
Mecab,0.17122175545348078,0.17404845513558037,0.16273104127272536,0.15862787048599286
Komoran,0.17416929593084376,0.17790528926082702,0.16298537869575014,0.16088933690424087
Kkma,0.17587825482547495,0.17963116726784212,0.1675452052189811,0.16479012591278677
Kiwi,0.1752539244239008,0.17794095371212662,0.1660364361301115,0.16086907958770172
Khaiii,0.1760252128841323,0.17918202485799284,0.16498188343535594,0.16308231575375476
Hannanum,0.1772015139086944,0.18171637475179672,0.1616288842090623,0.16370554440284568
Spm,0.17304737336567283,0.17444708381780832,0.1659669649457127,0.16306930684654464
Jamo,0.16686056495681686,0.1698486714384832,0.1690554194930102,0.16013698033351137
Character,0.1789731469771706,0.17962782079222778,0.1791265938301899,0.17218441976900928
