Unnamed: 0,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183399999999999,0.203293,0.027391000000000002,-0.220158
None,28.931604999999998,28.098634999999998,23.941162,25.940904999999997
Okt,34.35065,33.397969,30.415340999999998,31.382394
Mecab,39.185416,38.341269,35.605062,35.602336
Komoran,41.007318,40.275065000000005,36.6213,37.303979999999996
Kkma,41.920369,40.985863,37.236340999999996,38.06338
Kiwi,41.996545000000005,41.021518,38.457541,38.138279
Khaiii,40.881211,40.005441999999995,37.034265999999995,36.938532
Hannanum,37.793357,36.938590999999995,32.901814,34.057921
Spm,41.947990999999995,41.015240999999996,37.212711999999996,38.155348
Jamo,49.188138,48.466741999999996,45.098264,46.602282
Character,49.552786,48.71229,45.924383,47.095896
