Unnamed: 0,Sys_B,Sys_A,Sys_P,Sys_Q
Human,0.11183399999999999,0.203293,0.027391000000000002,-0.220158
None,45.72455,44.896907,42.741845,43.50527
Okt,47.34451,46.507847999999996,44.171101,45.134307
Mecab,48.36996,47.544242,45.342207,46.031283
Komoran,49.63493,48.904295,46.182302,47.165766
Kkma,47.13054,46.325957,43.795569,44.638560999999996
Kiwi,50.09603,49.298651,47.016783000000004,47.557402
Khaiii,49.55965,48.762741,46.353598999999996,47.011099
Hannanum,46.8255,46.019104,43.400667,44.377501
Spm,48.80699,47.932389,45.357256,46.376678000000005
Jamo,53.807480000000005,53.140421999999994,51.197576,51.774628
Character,48.70717,47.887238,45.6986,46.532939
