,worker,DocID,SentID,Sys,Src,Ref,Hyp,Adequacy,Fluency,Z_adequacy,Z_fluency
18,8734,1,1,Sys_A,"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims"," 마이클 잭슨 전 경호원, 잭슨이 신문 1면에 실리기 위해 코에 테이프 붙였다고 말해", 마이클 잭슨은 1면을 얻기 위해 코에 테이프를 붙였다고 전직 경호원이 주장했습니다,95,94,0.4698141222164945,0.6185475736070268
17,8732,1,1,Sys_P,"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims"," 마이클 잭슨 전 경호원, 잭슨이 신문 1면에 실리기 위해 코에 테이프 붙였다고 말해", 마이클 잭슨은 첫 페이지를 얻기 위해 코에 테이프를 썼다.,0,0,-1.0107141135966882,-0.9608668973612526
42,8734,1,1,Sys_Q,"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims"," 마이클 잭슨 전 경호원, 잭슨이 신문 1면에 실리기 위해 코에 테이프 붙였다고 말해"," 마이클 잭슨은 앞 페이지를 얻기 위해 자신의 코에 테이프를 착용, 전 보디 가드 주장",96,88,0.5060066994965621,0.4038056716751237
53,8741,1,1,Sys_B,"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims"," 마이클 잭슨 전 경호원, 잭슨이 신문 1면에 실리기 위해 코에 테이프 붙였다고 말해", 마이클 잭슨은 1면을 받기 위해 코에 테이프를 달았다고 전 경호원이 주장했다.,88,95,1.157548330907758,1.3465260090298894
16,8732,1,2,Sys_P,Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,故 마이클 잭슨의 전 경호원이 잭슨의 특이한 행동 중 일부는 언론매체를 자극하기 위한 행동이었다고 주장했다.,마이클 잭슨의 전 보디 가드는 고의적으로 미디어를 고조시키려는 의도로 그의 기이함을 키웠다 고 주장했다.,0,0,-1.0107141135966882,-0.9608668973612526
26,8734,1,2,Sys_A,Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,故 마이클 잭슨의 전 경호원이 잭슨의 특이한 행동 중 일부는 언론매체를 자극하기 위한 행동이었다고 주장했다.,마이클 잭슨의 전 경호원은 고인이 언론을 선동하려는 의도적인 의도로 그의 기행 중 일부를 조장했다고 주장했다.,94,79,0.4336215449364271,0.08169281877726882
25,8734,1,3,Sys_A,"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",현재 부동산 개발업자이자 한 무술 및 댄스 아카데미 프랜차이즈 소유주인 매트 피데스는 영국 메트로신문을 통해 잭슨이 대중의 눈에 '신비로워' 보이지 않으면 스타로서의 매력을 잃게될 것이라고 생각했다고 밝혔다.,"현재 부동산 개발업자이자 무술/무용 체인의 소유주인 맷 피데스는 잭슨은 대중들의 눈에 그가 ""미스터리""가 되지 않는다면 그의 인격에 대한 매력은 멈출 것으로 믿는다고 메트로에 말했다.",88,74,0.2164660812560223,-0.09725876616598383
37,8734,1,3,Sys_Q,"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",현재 부동산 개발업자이자 한 무술 및 댄스 아카데미 프랜차이즈 소유주인 매트 피데스는 영국 메트로신문을 통해 잭슨이 대중의 눈에 '신비로워' 보이지 않으면 스타로서의 매력을 잃게될 것이라고 생각했다고 밝혔다.,"현재 무술/댄스 체인의 부동산 개발업자이자 소유주인 맷 피데스(Matt Fiddes)는 메트로에 잭슨이 대중의 시선에서 ""미스터리""가 되지 않으면 페르소나 주변의 매력이 멈출 것이라고 믿었다고 말했다.",37,19,-1.6293553600274182,-2.065726200541764
55,8741,1,3,Sys_B,"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",현재 부동산 개발업자이자 한 무술 및 댄스 아카데미 프랜차이즈 소유주인 매트 피데스는 영국 메트로신문을 통해 잭슨이 대중의 눈에 '신비로워' 보이지 않으면 스타로서의 매력을 잃게될 것이라고 생각했다고 밝혔다.,현재 무술/댄스 체인의 부동산 개발업자이자 소유주인 매트 피데스는 메트로와의 인터뷰에서 잭슨이 대중의 눈에 '미스테리'가 되지 않는다면 자신의 페르소나에 대한 매력이 멈출 것이라고 믿었다고 말했다.,71,82,0.3843333358023796,0.7124741088671159
15,8732,1,3,Sys_P,"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",현재 부동산 개발업자이자 한 무술 및 댄스 아카데미 프랜차이즈 소유주인 매트 피데스는 영국 메트로신문을 통해 잭슨이 대중의 눈에 '신비로워' 보이지 않으면 스타로서의 매력을 잃게될 것이라고 생각했다고 밝혔다.,"현재 부동산 개발 업체이자 무술 / 댄스 체인의 소유자 인 Matt Fiddes는 잭슨이 대중의 눈에 ""미스터리""가되지 않으면 자신의 페르소나에 대한 매력이 멈출 것이라고 Metro에 말했다.",91,71,0.9949167290771204,0.6483951833979874
