,Unnamed: 0,100,200,300,400,500,600,700,800,900,1000
0,Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hannanum,0.36,0.31,0.307,0.282,0.278,0.28300000000000003,0.28,0.282,0.28800000000000003,0.289
2,Khaiii,2.02,2.08,2.04,1.992,2.002,2.003,1.986,1.986,1.993,1.993
3,Kiwi,2.68,2.665,2.7230000000000003,2.75,2.7739999999999996,2.795,2.7939999999999996,2.781,2.7889999999999997,2.798
4,Kkma,3.74,3.65,3.647,3.6319999999999997,3.6319999999999997,3.65,3.661,3.659,3.658,3.6710000000000003
5,Komoran,2.2,2.125,2.15,2.1180000000000003,2.14,2.133,2.116,2.1109999999999998,2.124,2.1390000000000002
6,Mecab,3.67,3.665,3.7,3.76,3.76,3.76,3.7510000000000003,3.7439999999999998,3.7430000000000003,3.753
7,None,0.15,0.215,0.22,0.205,0.20199999999999999,0.193,0.184,0.184,0.183,0.17300000000000001
8,Okt,1.52,1.46,1.483,1.49,1.51,1.508,1.496,1.51,1.501,1.4980000000000002
9,Spm,3.53,3.435,3.487,3.472,3.466,3.457,3.4410000000000003,3.431,3.438,3.447
10,Jamo,1.98,2.015,1.993,2.013,2.006,2.005,2.024,2.02,2.026,2.022
11,Character,3.15,3.03,2.97,2.93,2.91,2.915,2.931,2.945,2.952,2.9530000000000003
12,Time,3.8214845657348633,3.8237688541412354,3.8147995471954346,3.826957702636719,3.819704532623291,3.827110767364502,3.818886995315552,3.776345014572144,3.768747091293335,3.76813554763794
