Tokenizer,BLEU,TER,CHRF,NLTK_BLEU,GLEU,NIST,RIBES,CHARECTER,EED,(ms)
Word,0.11,0.332,0.111,1.072,1.018,1.016,1.011,0.284,0.095,
Kkma,0.11,9.849,0.113,1.016,1.0590000000000002,1.061,3.888,0.8270000000000001,0.094,27112.967
Hannanum,0.10800000000000001,5.236000000000001,0.10800000000000001,0.982,1.0759999999999998,1.044,2.867,0.633,0.09300000000000001,4326.912
Okt,0.107,2.4130000000000003,0.115,1.011,1.036,1.042,1.7919999999999998,0.434,0.08900000000000001,3029.685
Komoran,0.11199999999999999,8.232000000000001,0.121,0.9940000000000001,1.0290000000000001,1.082,3.36,0.77,0.092,1084.107
Mecab,0.109,5.061,0.115,1.036,1.06,1.033,2.735,0.679,0.09300000000000001,152.594
Khaiii,0.134,7.768,0.121,1.14,1.038,1.011,3.4419999999999997,0.763,0.098,1494.13
Kiwi,0.106,7.653,0.11599999999999999,1.037,1.002,1.032,3.5780000000000003,0.816,0.09699999999999999,1959.963
SPM,0.106,8.106,0.11599999999999999,0.981,0.961,1.032,3.4760000000000004,0.792,0.094,51.577
Character,0.10800000000000001,24.933000000000003,0.129,1.02,0.9790000000000001,1.0859999999999999,13.094000000000001,2.391,0.09699999999999999,5.004
CV,0.128,362.18699999999995,0.147,1.028,1.068,1.119,628.9680000000001,366.657,0.20199999999999999,89.07600000000001
