,worker,DocID,SentID,Sys,Src,Ref,Hyp,Adequacy,Fluency,Z_adequacy,Z_fluency
42,9309,3,1,Sys_A,A woman in Maine got 500 letters from United Healthcare within five days," 메인 주의 한 여성, 유나이티드 헬스케어로부터 5일 동안 500통의 편지 받아", 메인주에 사는 한 여성은 유나이티드 헬스케어로부터 5일 이내에 500통의 편지를 받았다.,69,100,0.4380245402726015,0.925892435895664
28,8750,3,1,Sys_B,A woman in Maine got 500 letters from United Healthcare within five days," 메인 주의 한 여성, 유나이티드 헬스케어로부터 5일 동안 500통의 편지 받아", 메인 주의 한 여성은 5일 이내에 유나이티드 헬스케어로부터 500통의 편지를 받았다.,74,50,0.3657527742971553,-0.3447203689040671
9,8736,3,1,Sys_Q,A woman in Maine got 500 letters from United Healthcare within five days," 메인 주의 한 여성, 유나이티드 헬스케어로부터 5일 동안 500통의 편지 받아", 메인의 한 여성은 5 일 이내에 유나이티드 헬스케어에서 500 편지를 받았습니다.,94,91,0.9923895651308134,0.38900761163804737
14,8739,3,1,Sys_P,A woman in Maine got 500 letters from United Healthcare within five days," 메인 주의 한 여성, 유나이티드 헬스케어로부터 5일 동안 500통의 편지 받아", 메인에있는 한 여성이 5 일 이내에 United Healthcare에서 500 통의 편지를 받았습니다.,69,78,0.627379906484756,0.7893579426797578
43,9309,3,2,Sys_A,Stephanie Lay said she found the piles of letters from the insurance company stashed in her mailbox between Thursday and Monday.,스테파니 레이는 우편함에 목요일부터 월요일까지 보험 회사인 유나이티드 헬스케어가 보낸 편지가 수북히 쌓여 있는 것을 발견했다고 말했다.,스테파니 레이는 목요일과 월요일 사이에 보험 회사에서 보낸 편지 더미가 자신의 우편함에 숨겨져 있는 것을 발견했다고 말했다.,72,100,0.5822724694613578,0.925892435895664
30,8750,3,2,Sys_B,Stephanie Lay said she found the piles of letters from the insurance company stashed in her mailbox between Thursday and Monday.,스테파니 레이는 우편함에 목요일부터 월요일까지 보험 회사인 유나이티드 헬스케어가 보낸 편지가 수북히 쌓여 있는 것을 발견했다고 말했다.,스테파니 레이는 목요일과 월요일 사이에 보험회사에서 온 편지 더미를 우편함에 숨겨둔 것을 발견했다고 말했다.,50,50,-0.4635637898293837,-0.3447203689040671
8,8736,3,2,Sys_Q,Stephanie Lay said she found the piles of letters from the insurance company stashed in her mailbox between Thursday and Monday.,스테파니 레이는 우편함에 목요일부터 월요일까지 보험 회사인 유나이티드 헬스케어가 보낸 편지가 수북히 쌓여 있는 것을 발견했다고 말했다.,스테파니 레이는 목요일과 월요일 사이에 사서함에 숨겨져 있는 보험 회사에서 보낸 편지 더미를 발견했다고 말했다.,86,90,0.5526286041157824,0.32407695843624
15,8739,3,2,Sys_P,Stephanie Lay said she found the piles of letters from the insurance company stashed in her mailbox between Thursday and Monday.,스테파니 레이는 우편함에 목요일부터 월요일까지 보험 회사인 유나이티드 헬스케어가 보낸 편지가 수북히 쌓여 있는 것을 발견했다고 말했다.,Stephanie Lay는 목요일과 월요일 사이에 우편함에 숨겨져있는 보험 회사의 편지 더미를 발견했다고 말했습니다.,44,59,-0.6639807572982634,0.08824530493160902
44,9309,3,3,Sys_A,"""A week ago Thursday was the first wave of letters, I got 46 letters,"" she told CNN.","그녀는 CNN에 ""일주일 전인 지난 목요일부터 편지가 날아들었고 그날 46통의 편지를 받았다.”라고 말했다.","그녀는 CNN과의 인터뷰에서 ""일주일 전 목요일은 첫 편지 물결이었고, 46통의 편지를 받았다""고 말했다.",64,100,0.19761132495800746,0.925892435895664
29,8750,3,3,Sys_B,"""A week ago Thursday was the first wave of letters, I got 46 letters,"" she told CNN.","그녀는 CNN에 ""일주일 전인 지난 목요일부터 편지가 날아들었고 그날 46통의 편지를 받았다.”라고 말했다.","그는 CNN과의 인터뷰에서 ""일주일 전 목요일이 첫 번째 편지였다""고 말했다.",36,74,-0.9473317855698647,0.4869258053484252
7,8736,3,3,Sys_Q,"""A week ago Thursday was the first wave of letters, I got 46 letters,"" she told CNN.","그녀는 CNN에 ""일주일 전인 지난 목요일부터 편지가 날아들었고 그날 46통의 편지를 받았다.”라고 말했다.","그녀는 CNN에 ""일주일 전 목요일은 편지의 첫 번째 물결이었고, 나는 46 통의 편지를 받았다""고 말했다.",74,74,-0.10701283740676408,-0.7148134927926775
16,8739,3,3,Sys_P,"""A week ago Thursday was the first wave of letters, I got 46 letters,"" she told CNN.","그녀는 CNN에 ""일주일 전인 지난 목요일부터 편지가 날아들었고 그날 46통의 편지를 받았다.”라고 말했다.","그녀는 CNN에 ""1 주일 전 목요일은 편지의 첫 물결이었다. 46 통의 편지를 받았다""고 말했다.",34,26,-1.1805250228114712,-1.1294766448414917
17,8739,3,4,Sys_P,"""I immediately called United Healthcare insurance and told them I received 46 letters of the same letter.""",난 당장 유나이티드 헬스케어에 전화해서 동일한 편지 46통을 받았다고 이야기했다.”,"""나는 즉시 United Healthcare 보험에 전화를 걸어 같은 편지 46 통을 받았다고 말했습니다.""",74,74,0.8856520392413599,0.6417552821012001
40,8750,3,4,Sys_B,"""I immediately called United Healthcare insurance and told them I received 46 letters of the same letter.""",난 당장 유나이티드 헬스케어에 전화해서 동일한 편지 46통을 받았다고 이야기했다.”,"""나는 즉시 유나이티드 헬스케어 보험에 전화를 걸어 같은 편지 46통을 받았다고 말했다.""",100,100,1.264179052100906,1.3878758274552918
12,8736,3,4,Sys_Q,"""I immediately called United Healthcare insurance and told them I received 46 letters of the same letter.""",난 당장 유나이티드 헬스케어에 전화해서 동일한 편지 46통을 받았다고 이야기했다.”,"""나는 즉시 유나이티드 헬스케어 보험을 불렀고 같은 편지의 46 통의 편지를 받았다고 말했습니다.""",80,91,0.2228078833545092,0.38900761163804737
45,9309,3,4,Sys_A,"""I immediately called United Healthcare insurance and told them I received 46 letters of the same letter.""",난 당장 유나이티드 헬스케어에 전화해서 동일한 편지 46통을 받았다고 이야기했다.”,"""저는 즉시 유나이티드 헬스케어 보험에 전화를 걸어 같은 내용의 46통의 편지를 받았다고 말했습니다.""",62,100,0.10144603883216986,0.925892435895664
11,8736,3,5,Sys_Q,"And the letters just kept coming, piling up to more than 500 by Monday.","그러나 편지들이 계속 와, 결국 월요일까지 500통 이상의 편지가 쌓이게 됐다.",그리고 편지는 월요일까지 500 개 이상의 쌓아 계속 오고 있었다.,44,57,-1.7561164412131305,-1.818634597223402
46,9309,3,5,Sys_A,"And the letters just kept coming, piling up to more than 500 by Monday.","그러나 편지들이 계속 와, 결국 월요일까지 500통 이상의 편지가 쌓이게 됐다.",그리고 편지가 계속 와서 월요일까지 500통 이상 쌓였다.,100,100,1.928586475223084,0.925892435895664
18,8739,3,5,Sys_P,"And the letters just kept coming, piling up to more than 500 by Monday.","그러나 편지들이 계속 와, 결국 월요일까지 500통 이상의 편지가 쌓이게 됐다.",그리고 편지는 계속오고 월요일까지 500 개가 넘었습니다.,79,67,1.1439241719979638,0.38345062608872427
39,8750,3,5,Sys_B,"And the letters just kept coming, piling up to more than 500 by Monday.","그러나 편지들이 계속 와, 결국 월요일까지 500통 이상의 편지가 쌓이게 됐다.",그리고 월요일까지 500개가 넘는 편지들이 계속 쌓였다.,74,62,0.3657527742971553,0.07110271822217906
38,8750,3,6,Sys_B,"They were addressed to her son, who has autism and lives in a private care facility, she said.",그 편지들은 자폐증으로 개인 요양시설에 있는 그녀의 아들 앞으로 온 것이라 그녀는 말했다.,그들은 자폐증을 앓고 있고 개인 요양시설에 살고 있는 그녀의 아들에게 보내졌다고 그녀는 말했다.,100,65,1.264179052100906,0.1750584900037406
20,8739,3,6,Sys_P,"They were addressed to her son, who has autism and lives in a private care facility, she said.",그 편지들은 자폐증으로 개인 요양시설에 있는 그녀의 아들 앞으로 온 것이라 그녀는 말했다.,그녀는 자폐증을 앓고 있으며 사립 요양 시설에 거주하는 아들에게 보내 졌다고 그녀는 말했다.,56,53,-0.04412763868241412,-0.1331586859362274
47,9309,3,6,Sys_A,"They were addressed to her son, who has autism and lives in a private care facility, she said.",그 편지들은 자폐증으로 개인 요양시설에 있는 그녀의 아들 앞으로 온 것이라 그녀는 말했다.,그들은 자폐증을 가지고 있고 사설 보호 시설에 살고 있는 그녀의 아들에게 보내졌다고 그녀는 말했다.,62,100,0.10144603883216986,0.925892435895664
10,8736,3,6,Sys_Q,"They were addressed to her son, who has autism and lives in a private care facility, she said.",그 편지들은 자폐증으로 개인 요양시설에 있는 그녀의 아들 앞으로 온 것이라 그녀는 말했다.,그들은 자폐증을 앓고 있고 민간 요양원에 사는 아들에게 전달되었다고 그녀는 말했다.,74,74,-0.10701283740676408,-0.7148134927926775
37,8750,3,7,Sys_B,"But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services — in Cincinnati, she told local media.",그러나 그녀가 신시내티의 지역 매체에 말하길 편지를 열어보니 수신자가 그녀의 아들 이름 대신 메인 주 보건복지부로 되어 있었다고 한다.,"그러나 당신이 그것들을 열었을 때 그녀의 아들의 이름 대신에, 그 편지들은 신시내티에 있는 친애하는 메인 보건인적 서비스 부서라고 말했다.",11,0,-1.8112032065350097,-2.077316565263426
48,9309,3,7,Sys_A,"But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services — in Cincinnati, she told local media.",그러나 그녀가 신시내티의 지역 매체에 말하길 편지를 열어보니 수신자가 그녀의 아들 이름 대신 메인 주 보건복지부로 되어 있었다고 한다.,하지만 독자 분이 그것들을 열었을 때 그 안에 있는 아들의 이름 대신에 편지에는 신시내티의 Dear Maine's Department of Health and Human Services라고 적혀있었다고 그녀는 현지 언론에 말했다.,50,62,-0.4755456779228557,-0.6205549405215349
6,8736,3,7,Sys_Q,"But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services — in Cincinnati, she told local media.",그러나 그녀가 신시내티의 지역 매체에 말하길 편지를 열어보니 수신자가 그녀의 아들 이름 대신 메인 주 보건복지부로 되어 있었다고 한다.,"그러나 아들을 열었을 때 아들의 이름 대신, 편지는 신시내티에서 친애하는 메인보건복지부에 말했다고 그녀는 현지 언론에 말했다.",41,61,-1.9210268015937668,-1.5589119844161732
21,8739,3,7,Sys_P,"But instead of her son's name inside when you opened them, the letters said Dear Maine's Department of Health and Human Services — in Cincinnati, she told local media.",그러나 그녀가 신시내티의 지역 매체에 말하길 편지를 열어보니 수신자가 그녀의 아들 이름 대신 메인 주 보건복지부로 되어 있었다고 한다.,그러나 당신이 그들을 열었을 때 그녀의 아들의 이름 대신에 편지는 Dear Maine의 보건 복지부-신시내티에있는 그녀는 지역 언론에 말했다.,29,31,-1.4387971555680752,-0.9449733191182944
49,9309,3,8,Sys_A,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said.",해당 편지들은 유나이티드 헬스케어가 보험 처리가 되지 않는다고 말한 54달러 또는 0달러짜리 건강보험 청구에 대한 것이었다고 스테파니 레이는 말했다.,레이는 그 편지들은 유나이티드 헬스케어가 보장하지 않는다고 말한 54달러 혹은 0달러의 의료비 청구서에 관한 것이었다고 말했다.,93,100,1.592007973782653,0.925892435895664
36,8750,3,8,Sys_B,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said.",해당 편지들은 유나이티드 헬스케어가 보험 처리가 되지 않는다고 말한 54달러 또는 0달러짜리 건강보험 청구에 대한 것이었다고 스테파니 레이는 말했다.,"레이 대변인은 ""이 편지들은 유나이티드 헬스케어가 다루지 않는다고 밝힌 54달러 또는 0달러의 의료보험 청구권이었다""고 말했다.",64,64,0.02020420591109739,0.1404065660765534
22,8739,3,8,Sys_P,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said.",해당 편지들은 유나이티드 헬스케어가 보험 처리가 되지 않는다고 말한 54달러 또는 0달러짜리 건강보험 청구에 대한 것이었다고 스테파니 레이는 말했다.,편지는 United Healthcare가 보장되지 않는다고 말한 $ 54 또는 $ 0 의료 청구에 관한 것이라고 Lay는 말했습니다.,20,29,-1.9036869945299624,-1.0187746494075731
13,8736,3,8,Sys_Q,"The letters were about a $54 or $0 healthcare claim that United Healthcare said is not covered, Lay said.",해당 편지들은 유나이티드 헬스케어가 보험 처리가 되지 않는다고 말한 54달러 또는 0달러짜리 건강보험 청구에 대한 것이었다고 스테파니 레이는 말했다.,"편지는 유나이티드 헬스케어가 커버되지 않는다고 말한 $54 또는 $0 헬스케어 주장에 관하여 이었습니다, 레이는 말했습니다.",54,49,-1.2064152399443415,-2.338079822837861
5,8736,3,9,Sys_Q,"When she asked United Healthcare why she was receiving a mountain of letters, she was told it was a coding issue, she said.",그녀가 왜 이렇게 많은 편지들을 받게 됐는지 보험사 측에 문의하자 해당 보험사는 코드 상의 오류가 있었다고 대답했다고 한다.,그녀는 유나이티드 헬스케어에게 왜 편지를 받는지 물었을 때 코딩 문제라고 들었다고 말했다.,75,74,-0.0520427172798852,-0.7148134927926775
35,8750,3,9,Sys_B,"When she asked United Healthcare why she was receiving a mountain of letters, she was told it was a coding issue, she said.",그녀가 왜 이렇게 많은 편지들을 받게 됐는지 보험사 측에 문의하자 해당 보험사는 코드 상의 오류가 있었다고 대답했다고 한다.,그녀는 유나이티드 헬스케어에 왜 산더미 같은 편지를 받고 있느냐고 물었을 때 코딩 문제라는 말을 들었다고 말했다.,25,11,-1.3274352107945286,-1.6961454020643671
50,9309,3,9,Sys_A,"When she asked United Healthcare why she was receiving a mountain of letters, she was told it was a coding issue, she said.",그녀가 왜 이렇게 많은 편지들을 받게 됐는지 보험사 측에 문의하자 해당 보험사는 코드 상의 오류가 있었다고 대답했다고 한다.,"그녀가 United Healthcare에게 왜 산더미 같은 편지를 받고 있는지 물었을 때, 그녀는 그것이 코딩 문제라고 들었다고 말했다.",62,88,0.10144603883216986,0.4375406328165486
23,8739,3,9,Sys_P,"When she asked United Healthcare why she was receiving a mountain of letters, she was told it was a coding issue, she said.",그녀가 왜 이렇게 많은 편지들을 받게 됐는지 보험사 측에 문의하자 해당 보험사는 코드 상의 오류가 있었다고 대답했다고 한다.,그녀가 United Healthcare에 왜 많은 편지를 받았는지 물었을 때 코딩 문제라는 말을 들었다고 그녀는 말했습니다.,73,73,0.8339976126900391,0.6048546169565607
34,8750,3,10,Sys_B,"In a statement, United Healthcare told CNN it's working to resolve the issue but it cannot provide details due to privacy requirements.",유나이티드 헬스케어는 문제를 해결하기 위해 노력하고 있지만 프라이버시 요구사항 때문에 더 자세한 정보는 제공할 수 없다고 CNN에 서면으로 밝혔다.,유나이티드 헬스케어는 성명을 통해 이 문제를 해결하기 위해 노력하고 있지만 사생활 보호 요건으로 인해 자세한 내용은 제공할 수 없다고 밝혔다.,81,86,0.6076367721673959,0.9027488924746714
19,8739,3,10,Sys_P,"In a statement, United Healthcare told CNN it's working to resolve the issue but it cannot provide details due to privacy requirements.",유나이티드 헬스케어는 문제를 해결하기 위해 노력하고 있지만 프라이버시 요구사항 때문에 더 자세한 정보는 제공할 수 없다고 CNN에 서면으로 밝혔다.,성명에서 United Healthcare는 CNN에 문제를 해결하기 위해 노력하고 있지만 개인 정보 보호 요구 사항으로 인해 세부 정보를 제공 할 수 없다고 밝혔다.,64,54,0.3691077737281521,-0.09625802079158802
4,8736,3,10,Sys_Q,"In a statement, United Healthcare told CNN it's working to resolve the issue but it cannot provide details due to privacy requirements.",유나이티드 헬스케어는 문제를 해결하기 위해 노력하고 있지만 프라이버시 요구사항 때문에 더 자세한 정보는 제공할 수 없다고 CNN에 서면으로 밝혔다.,유나이티드 헬스케어는 성명서에서 이 문제를 해결하기 위해 노력하고 있지만 개인 정보 보호 요구 사항으로 인해 세부 사항을 제공 할 수 없다고 CNN에 말했다.,95,100,1.0473596852576923,0.9733834904543136
51,9309,3,10,Sys_A,"In a statement, United Healthcare told CNN it's working to resolve the issue but it cannot provide details due to privacy requirements.",유나이티드 헬스케어는 문제를 해결하기 위해 노력하고 있지만 프라이버시 요구사항 때문에 더 자세한 정보는 제공할 수 없다고 CNN에 서면으로 밝혔다.,유나이티드 헬스케어는 성명을 통해 CNN과의 인터뷰에서 이 문제를 해결하기 위해 노력하고 있지만 사생활 보호 요구 사항으로 인해 자세한 내용을 제공할 수 없다고 밝혔다.,70,100,0.4861071833355203,0.925892435895664
52,9309,3,11,Sys_A,"""We have determined the cause of the problem.","""우리는 문제의 원인을 밝혀냈다.","""문제의 원인을 파악했습니다.",97,95,1.7843385460343275,0.7224125179460326
27,8739,3,11,Sys_P,"""We have determined the cause of the problem.","""우리는 문제의 원인을 밝혀냈다.","""문제의 원인을 확인했습니다.",84,98,1.4021963047545676,1.527371245572546
3,8736,3,11,Sys_Q,"""We have determined the cause of the problem.","""우리는 문제의 원인을 밝혀냈다.","""우리는 문제의 원인을 결정했습니다.",65,91,-0.6017439185486739,0.38900761163804737
33,8750,3,11,Sys_B,"""We have determined the cause of the problem.","""우리는 문제의 원인을 밝혀냈다.","""우리는 문제의 원인을 결정했다.",62,74,-0.048905507766114194,0.4869258053484252
32,8750,3,12,Sys_B,"We are very sorry this occurred, and we have contacted the family to discuss the situation with them,"" the health insurer said.","이번 일이 발생해 매우 죄송스럽게 생각하며, 이번 상황에 대해 논의하기 위해 해당 가족과 연락을 마쳤다.""라고 이들은 전했다.","""우리는 이런 일이 일어나 매우 유감스럽게 생각하며, 우리는 가족과 그 상황을 의논하기 위해 연락을 취했다,""라고 건강 보험사는 말했다.",88,50,0.8495207700376365,-0.3447203689040671
